0	38.933911	-77.036034	650	1020	1221	1669	1.878461538	1.63627451
1	38.9213614	-77.0339227	425	680	1550	2100	3.647058824	3.088235294
3	38.961793	-76.946857	600	735	1150	1450	1.916666667	1.972789116
4	38.9158893	-77.0501786	390	850	1460	2600	3.743589744	3.058823529
6	38.915003	-77.037961	317	941	1625	3100	5.126182965	3.294367694
7	39.1425179	-77.1911002	709	1447	1441	2039	2.032440056	1.409122322
8	38.8888703	-77.0743643	428	900	1300	2050	3.037383178	2.277777778
10	38.8358143	-77.0052586	750	880	1042	1072	1.389333333	1.218181818
11	38.9617121	-77.0732228	325	1180	893	2779	2.747692308	2.355084746
12	39.394776	-77.435912	748	1150	1245	2530	1.664438503	2.2
15	38.9263476	-77.0536394	900	1000	1665	1695	1.85	1.695
17	39.145177	-77.171095	806	1218	1800	1990	2.23325062	1.633825944
22	38.90104	-77.20668	710	1169	1350	2025	1.901408451	1.732249786
23	38.933037	-77.030539	370	800	1495	1650	4.040540541	2.0625
24	38.9326338	-77.0293121	460	1000	1820	2740	3.956521739	2.74
25	39.479589	-77.940372	981	1101	819	974	0.834862385	0.884650318
26	38.8909578	-76.8351638	713	934	1395	2125	1.956521739	2.2751606
29	39.637115	-77.704525	570	870	737	1260	1.292982456	1.448275862
30	38.995776	-77.00316	650	842	950	1250	1.461538462	1.48456057
31	38.8157331	-77.0510098	605	1245	1570	3010	2.595041322	2.417670683
33	38.792808	-77.529222	537	1008	1185	1585	2.206703911	1.572420635
35	38.878311	-77.226801	809	1260	1495	2500	1.847960445	1.984126984
36	38.7342685	-77.1008702	686	1071	1270	1800	1.851311953	1.680672269
37	38.308676	-77.479841	950	1200	825	1340	0.868421053	1.116666667
39	39.049914	-76.836659	709	1165	1350	1937	1.904090268	1.662660944
45	38.886028	-76.955192	480	680	975	1500	2.03125	2.205882353
47	38.728696	-77.109995	568	901	1300	1800	2.288732394	1.997780244
48	39.1592663	-77.2837227	715	1326	1160	2080	1.622377622	1.568627451
50	38.938197	-77.03351	430	800	1335	1800	3.104651163	2.25
52	39.0848546	-76.8910317	689	1346	1574	2465	2.284470247	1.831352155
53	39.4451125	-77.441549	807	1175	1390	2781	1.722428748	2.366808511
55	38.8663365	-76.9186713	315	996	839	1545	2.663492063	1.551204819
56	38.997758	-77.024066	512	1192	1662	2649	3.24609375	2.222315436
57	38.9827262	-77.0083191	715	1200	900	1000	1.258741259	0.833333333
